t,h,lon,lat,v,gam,azm,alpha,beta,q
617.8098745,222332.2188,40.48795884,2.977717665,22646.25226,-0.120173771,80.5009368,25.12084457,-53.11158315,69.85529086
625.2531571,221977.4906,40.93885771,3.053698072,22592.99112,-0.1213725271,80.34288382,25.05909424,-52.93483654,69.93508506
634.5568508,221529.007,41.50071571,3.150165471,22525.87539,-0.1235389661,80.14398334,25.0560291,-52.70407557,69.95845172
643.2272145,221105.2527,42.02256243,3.241566036,22462.30082,-0.125334612,79.95612522,25.13970145,-52.49752598,69.88725492
648.9434774,220823.6471,42.36566221,3.302621862,22419.71986,-0.126201599,79.83063928,25.18551636,-52.3577252,69.84605095
650.3819002,220752.571,42.45187883,3.318085886,22408.93199,-0.1263947653,79.79888684,25.18914641,-52.31542121,69.84337667
650.3819002,220752.571,42.45187883,3.318085886,22408.93199,-0.1263947653,79.79888684,25.18914641,-52.31542121,69.84337667
653.9422023,220576.3429,42.66506844,3.356534967,22382.14312,-0.1268884729,79.72009097,25.17442631,-52.21903453,69.86074622
661.3854849,220205.8488,43.10980445,3.437715442,22325.90483,-0.1283950225,79.55474059,25.10434747,-52.05271771,69.93772886
670.6891786,219736.5118,43.66385245,3.540701982,22255.06459,-0.130992226,79.34661086,25.08986135,-51.82523572,69.96002633
679.3595423,219292.2501,44.17831346,3.638196561,22187.99705,-0.1331092646,79.15004228,25.1606202,-51.60462034,69.89121384
685.0758052,218996.7504,44.51648681,3.703279407,22143.09788,-0.1341103012,79.0187596,25.19811375,-51.45795976,69.85155456
686.514228,218922.1494,44.60145657,3.719757896,22131.72485,-0.1343306455,78.98553992,25.20001369,-51.41691753,69.84888841
686.514228,218922.1494,44.60145657,3.719757896,22131.72485,-0.1343306455,78.98553992,25.20001369,-51.41691753,69.84888841
690.07453,218737.1569,44.81154754,3.760719827,22103.48481,-0.1348896932,78.90309317,25.18175502,-51.32428362,69.86549663
697.5178127,218348.1675,45.24974778,3.847162431,22044.20428,-0.1365292015,78.73003852,25.10521478,-51.15610013,69.93992292
706.8215064,217855.5056,45.79551628,3.956742414,21969.54355,-0.1392413593,78.51216107,25.08013929,-50.92325478,69.96143498
715.4918701,217389.5368,46.30215038,4.060396976,21898.88984,-0.1413899647,78.3063495,25.13742815,-50.71193509,69.89491105
721.208133,217079.8345,46.6351044,4.129548831,21851.61351,-0.1423921446,78.16886536,25.16574628,-50.57487711,69.8565341
722.6465558,217001.6741,46.71875333,4.147052192,21839.64117,-0.1426113733,78.13407311,25.16557117,-50.53476627,69.8538891
722.6465558,217001.6741,46.71875333,4.147052192,21839.64117,-0.1426113733,78.13407311,25.16557117,-50.53476627,69.8538891
726.2068578,216807.9049,46.92556217,4.190552445,21809.91676,-0.1431640122,78.04772003,25.14273967,-50.44239793,69.86987269
733.6501405,216400.7185,47.35684119,4.282308998,21747.53447,-0.1447982394,77.86644587,25.05726666,-50.27580628,69.94197362
742.9538342,215885.5597,47.89384524,4.398544316,21669.00124,-0.147533419,77.63817886,25.01831013,-50.05219963,69.96267736
751.6241979,215398.827,48.39219785,4.508413576,21594.73828,-0.1497060382,77.42253306,25.05913677,-49.85161476,69.89824953
757.3404608,215075.5425,48.71963175,4.581668801,21545.08336,-0.1507163814,77.27848347,25.07656972,-49.71925564,69.8608744
758.7788836,214993.978,48.80188406,4.60020544,21532.51295,-0.1509369734,77.24203063,25.07395906,-49.68000164,69.85812587
758.7788836,214993.978,48.80188406,4.60020544,21532.51295,-0.1509369734,77.24203063,25.07395906,-49.68000164,69.85812587
762.3391856,214791.8077,49.00522299,4.646264394,21501.30988,-0.1514957535,77.15155579,25.0454899,-49.59077129,69.87340516
769.7824683,214367.1062,49.42918763,4.743375478,21435.85202,-0.1532006396,76.96161664,24.9485311,-49.43513152,69.94365872
