t,h,lon,lat,v,gam,azm,alpha,beta,q
392.8759596,217603.6569,25.92490155,2.167495097,23053.36899,-0.09104450164,79.40071172,17.42589905,-64.25734152,91.79751379
399.9373627,217280.3685,26.35891613,2.249129222,23021.09802,-0.1366523884,79.27897667,17.43336141,-63.90776848,92.01545583
401.7142725,217178.7462,26.4680117,2.269798801,23012.93939,-0.1480708454,79.24818959,17.43441004,-63.82892954,92.1102693
401.7142725,217178.7462,26.4680117,2.269798801,23012.93939,-0.1480708454,79.24818959,17.43441004,-63.82892954,92.1102693
406.112378,216892.437,26.73783299,2.32118021,22992.65021,-0.1761940165,79.17158751,17.43759259,-63.64314399,92.41066219
415.3072,216135.9073,27.30097447,2.429627069,22949.61015,-0.2340113506,79.00882239,17.44746314,-63.28048227,93.33779484
426.8002214,214899.1365,28.00301299,2.56717626,22894.06453,-0.3032823934,78.79806818,17.45806969,-62.80704604,95.0685179
437.5108787,213473.1207,28.65533151,2.697434857,22839.81658,-0.3629812601,78.59153856,17.46655059,-62.26146312,97.23559871
444.5722819,212401.1375,29.0843299,2.784455545,22802.35242,-0.3987769782,78.44857563,17.47152545,-61.90896102,98.9423908
446.3491916,212116.1875,29.19214319,2.806501111,22792.67874,-0.4072802288,78.41160979,17.47236572,-61.83985473,99.40554759
446.3491916,212116.1875,29.19214319,2.806501111,22792.67874,-0.4072802288,78.41160979,17.47236572,-61.83985473,99.40554759
450.7472972,211386.1955,29.45875017,2.8613296,22768.26968,-0.4274219355,78.31821645,17.47423721,-61.6723155,100.6072528
459.9421192,209756.0795,30.01495293,2.97720397,22714.86394,-0.4647698865,78.11336133,17.48166919,-61.29737854,103.3520989
471.4351405,207555.0539,30.70779592,3.124554824,22642.85103,-0.500730362,77.83615285,17.4914846,-60.82722239,107.1763603
482.1457979,205390.4939,31.35088203,3.264588026,22569.63018,-0.5214653643,77.5534804,17.48940048,-60.34339876,111.0565456
489.207201,203931.8756,31.77337264,3.358449428,22517.74515,-0.5274366921,77.3528638,17.4885188,-60.04711574,113.7077073
490.9841108,203563.4733,31.87948966,3.382270635,22504.20177,-0.527919341,77.30044929,17.49062641,-59.99165822,114.3758392
490.9841108,203563.4733,31.87948966,3.382270635,22504.20177,-0.527919341,77.30044929,17.49062641,-59.99165822,114.3758392
