x_aoa,y_aoa,x_aoa_h,y_aoa_h,x_bank,y_bank,x_bank_h,y_bank_h,x_heat,y_heat,x_heat_h,y_heat_h
1510.718403,28.12915729,1858.947532,17.08774053,1535.953105,-21.03797993,1177.201782,-42.9906995,852.1287305,99.12127685,1463.318288,50.48952368
1544.716769,28.03362263,1908.324665,17.08774053,1568.362858,-19.18529228,1213.145068,-43.23611921,878.8842618,96.86276748,1492.241841,47.41313339
1578.715135,28.17692463,1934.879241,17.0981378,1602.991476,-18.9165167,1243.045678,-42.16560464,891.0976664,89.17942395,1506.801663,42.38518627
1612.713501,28.24857563,1986.084455,17.08108628,1637.633648,-16.77900721,1280.378348,-41.77866627,931.7622203,82.85747083,1535.24479,40.87544451
1646.711868,28.24857563,2011.401729,17.0894041,1673.764594,-16.136231,1311.028907,-40.26443872,948.2339383,78.85990046,1550.172285,37.39877266
1680.710234,28.24857563,2047.197852,17.08774053,1707.355084,-15.50831474,1348.447414,-39.5027458,977.1200027,76.6402952,1584.454048,35.58393708
1714.7086,28.03959354,2091.943005,17.08566108,1737.548393,-14.47045532,1380.175632,-38.57831221,1013.091328,76.55184557,1621.309517,33.83306119
1748.706966,27.31114171,2132.039656,17.06954531,1772.570056,-13.13884873,1413.701013,-36.77242078,1047.064247,76.60257024,1651.241717,31.09132063
1782.705332,26.55283529,2165.973505,17.06018777,1805.640047,-11.39661899,1450.164745,-34.65219694,1079.402105,73.55685602,1684.019701,27.40230854
1816.703698,26.77973012,2195.326377,17.08566108,1844.309933,-9.751699784,1485.186408,-33.05667853,1105.058421,68.40729705,1716.485163,25.55451804
1846.065923,28.21573558,2197.90385,16.71759777,1875.08703,-8.913186313,1515.727358,-31.68,1133.981973,65.39158705,1751.230193,21.6610315
1875.428148,29.15018405,2197.990053,16.77998138,1910.228736,-7.080863843,1551.521558,-29.72333912,1148.541795,60.08749794,1785.678257,19.57898087
1897.063472,27.87638849,2198.076256,16.84236499,1942.322117,-5.974961178,1585.719182,-28.39102385,1178.05074,57.77624566,1821.82327,17.03171372
1906.335754,26.3438532,2198.162459,16.9047486,1980.446803,-3.176157469,1620.281285,-26.93812423,1202.369017,53.3246534,1850.253529,14.37314179
1914.062655,24.43913078,2198.248662,16.96713222,2002.614314,-1.600987214,1655.223714,-25.77207581,1233.321366,52.53424428,1887.636608,12.94962181
1918.698796,22.68218854,2198.329118,17.02535692,,,1687.075996,-24.09256762,1269.43244,53.26332551,1921.609527,11.06961005
1924.880317,20.59684588,,,,,1722.043446,-23.14083635,1303.405359,49.99674795,1955.067704,9.397176442
1932.607218,17.94774918,,,,,1753.771663,-21.31274464,1333.314531,45.31171563,1989.040622,8.204269221
1939.303866,15.26581243,,,,,1788.085168,-20.85715306,1362.497647,42.95717231,2023.013541,7.724427521
1944.455134,13.18594311,,,,,1824.994124,-19.43079337,1399.797419,38.88788961,2056.986459,7.134444734
1948.576148,11.43447421,,,,,1855.930443,-18.31908488,1430.767036,32.89315193,2090.959378,6.360002357
1953.727415,9.529751788,,,,,1891.025681,-16.59539509,1464.00461,29.35141292,2127.814847,3.904187865
1956.375839,7.781376518,,,,,1924.304185,-15.53439955,1500.702629,27.3907406,2148.717949,1.178704108
1977.04698,5.145748988,,,,,1959.00891,-14.0688924,1529.999848,25.44917175,2184.615385,0.5879862325
1991.331669,9.628271914,,,,,1995.139856,-13.31154819,1559.060149,23.79518454,,
1994.937556,12.33210202,,,,,2028.628098,-12.46977301,1589.429879,21.17678452,,
1997.51319,14.68563835,,,,,2063.3872,-10.15200577,1627.251101,19.37150385,,
1999.05857,16.2948004,,,,,2092.571919,-8.7762249,1656.929607,17.52582087,,
2002.149331,21.28648676,,,,,2127.730922,-6.432271307,1682.598035,13.27382407,,
2002.149331,19.84152492,,,,,2163.867462,-3.906354131,1714.511988,12.09505273,,
2004.209838,22.97227557,,,,,2194.182914,-1.763498438,1746.191148,9.517704904,,
2005.240091,25.09593161,,,,,2195.323817,-80.52806,1774.565127,5.554869269,,
2006.270345,17.92585581,,,,,2196.80306,-3.545571351,1804.175001,5.474188966,,
2007.300598,26.78172043,,,,,2198.127408,-86.79763104,1840.79516,5.951326003,,
2008.330852,28.7740163,,,,,2201.718029,-6.020883534,1874.768078,4.076737591,,
,,,,,,2204.675577,-30.5383192,1908.912577,3.430594592,,
,,,,,,2204.675577,-34.76609167,,,,
,,,,,,2204.675577,-38.99409192,,,,
,,,,,,2204.675577,-43.19612418,,,,
,,,,,,2204.675577,-47.46155784,,,,
,,,,,,2204.675577,-51.67535921,,,,
,,,,,,2204.675577,-55.87055779,,,,
,,,,,,2204.675577,-60.09992478,,,,
,,,,,,2204.675577,-64.32792503,,,,
,,,,,,2204.675577,-68.52995729,,,,
,,,,,,2204.675577,-72.79539095,,,,
,,,,,,2206.871207,-24.57893119,,,,
,,,,,,2208.383753,-10.17781348,,,,
,,,,,,2208.795772,-76.81784917,,,,
,,,,,,2209.310797,-14.62828811,,,,
,,,,,,2210.469602,-18.64953146,,,,
