t,h,lon,lat,v,gam,azm,alpha,beta,q
295.693783,235571.9077,20.01032413,0.6347843433,24436.2234,-0.0972080755,86.20076513,22.03671816,-61.17304539,69.99642406
305.6819372,235157.289,20.66992625,0.6793367242,24398.8837,-0.09730183581,86.06987309,22.29699736,-60.58631158,69.99793925
318.1665802,234644.8127,21.49282225,0.7370747592,24350.25325,-0.09539647813,85.9014444,22.59923238,-60.20385444,69.99912168
329.8013566,234180.1964,22.25806191,0.7929850369,24303.03373,-0.09262087177,85.73946888,22.84963581,-60.05431989,69.99783389
337.4720199,233882.3449,22.76167693,0.830981082,24270.95182,-0.09055512695,85.63012728,22.99528541,-59.96157126,69.99676126
339.402242,233808.5406,22.88829004,0.8406863119,24262.76582,-0.09001794457,85.60231356,23.02887794,-59.9379724,69.99703901
339.402242,233808.5406,22.88829004,0.8406863119,24262.76582,-0.09001794457,85.60231356,23.02887794,-59.9379724,69.99703901
344.1798176,233627.8502,23.20147374,0.8649593572,24242.31784,-0.08868016595,85.53297776,23.10744439,-59.8810619,69.99797435
354.1679718,233259.262,23.85528171,0.9168718451,24198.74944,-0.0859361282,85.38587026,23.25278565,-59.77039074,69.99898506
366.6526148,232814.8521,24.6706657,0.9840079889,24142.85945,-0.08293878507,85.19823491,23.39998572,-59.66090095,69.99942254
378.2873912,232413.9291,25.42865268,1.048854858,24089.49082,-0.08094887535,85.02000124,23.50849099,-59.56073878,69.99846815
385.9580545,232154.458,25.92736298,1.092824531,24053.69055,-0.08014559064,84.90091299,23.56769045,-59.45824356,69.9977613
387.8882766,232089.5845,26.05272732,1.104042155,24044.60939,-0.08000311682,84.87076804,23.58113841,-59.42304487,69.9977838
387.8882766,232089.5845,26.05272732,1.104042155,24044.60939,-0.08000311682,84.87076804,23.58113841,-59.42304487,69.9977838
392.6658522,231929.5404,26.36279591,1.132073254,24022.01165,-0.07975149566,84.79586727,23.61225318,-59.34495948,69.99815928
402.6540064,231596.11,27.00998458,1.191904134,23974.2312,-0.07976350626,84.63797951,23.67036541,-59.17252397,69.99917616
415.1386494,231178.0732,27.8169049,1.269037807,23913.51702,-0.08062892114,84.4383857,23.73616919,-58.86316927,69.99947524
426.7734258,230783.5239,28.56682735,1.343282286,23855.9491,-0.08219054132,84.25022313,23.79601788,-58.60214124,69.99852915
434.4440891,230518.9848,29.06013156,1.393483014,23817.46382,-0.08366995333,84.12496569,23.83642554,-58.41931496,69.99794235
436.3743112,230451.6884,29.18412455,1.406272655,23807.71138,-0.08408053922,84.09330038,23.84682569,-58.35153379,69.99792102
436.3743112,230451.6884,29.18412455,1.406272655,23807.71138,-0.08408053922,84.09330038,23.84682569,-58.35153379,69.99792102
441.1518868,230283.8428,29.49077996,1.438201238,23783.45223,-0.08511040816,84.01469582,23.87291256,-58.17946116,69.99814448
451.140041,229926.7096,30.13074592,1.50620854,23732.16594,-0.08737009305,83.84923139,23.93003295,-57.84558402,69.99919781
463.624684,229467.9964,30.92847013,1.59361279,23666.91932,-0.09029638195,83.64011979,24.00846514,-57.41837831,69.99949213
475.2594603,229027.9664,31.66964803,1.677479149,23604.8918,-0.09307445784,83.44270391,24.08833494,-57.07438971,69.99854457
482.9301237,228731.1266,32.1570907,1.734051389,23563.31424,-0.09496743987,83.3110532,24.14363946,-56.84999806,69.99803233
484.8603458,228655.5618,32.27959624,1.748447979,23552.76326,-0.0954377873,83.27773573,24.15780262,-56.77948359,69.9980144
484.8603458,228655.5618,32.27959624,1.748447979,23552.76326,-0.0954377873,83.27773573,24.15780262,-56.77948359,69.9980144
489.6379213,228467.1282,32.5825479,1.784360559,23526.49158,-0.09655407596,83.19495658,24.19303517,-56.60550821,69.99823832
499.6260755,228067.0638,33.21466613,1.860728551,23470.83168,-0.09874150821,83.02035172,24.26756363,-56.2879342,69.99923694
