x_aoa,y_aoa,x_aoa_c,y_aoa_c,x_bank,y_bank,x_bank_c,y_bank_c,x_heat,y_heat,x_heat_c,y_heat_c
1084.730712,17.41093108,1224.329386,20.24117859,1126.471873,-36.59893632,769.3024109,-49.6384244,580.7087295,129.3013016,1074.860271,68.04600333
1118.729097,17.38904379,1266.027026,19.39942722,1162.045348,-35.97307211,803.2940252,-49.7461067,606.8696934,122.7530231,1108.833189,67.94167502
1152.727482,17.39016622,1307.724666,18.59077862,1194.712614,-34.11572744,837.0479358,-49.58481264,621.201703,114.6579566,1142.806108,68.14477935
1186.725868,17.41130522,1350.966664,18.1463482,1231.873609,-33.5884435,871.2772537,-48.33671115,648.6545664,112.3103274,1176.779026,68.52432329
1220.724253,17.4313218,1394.208661,18.08259959,1263.725891,-32.46972537,907.2553908,-47.69025846,648.6545664,104.9072983,1210.751945,68.76218088
1254.722639,17.43113473,1440.539372,18.08523202,1297.253983,-30.66970817,939.00297,-46.48995984,667.1852492,107.9863369,1244.724863,68.74696348
1288.721024,17.41261472,1493.047512,18.08821544,1333.34508,-28.96830488,973.2520964,-46.03962697,673.5551714,100.0232838,1278.697782,68.75313269
1322.71941,17.39503006,1539.378223,18.09084786,1362.974134,-28.03660131,1007.243711,-45.57424619,701.5993744,96.55924993,1312.6707,68.57751565
1356.717795,17.39521713,1585.708935,18.09348029,1401.409096,-27.11327681,1043.374657,-45.51052355,712.6295427,93.35920306,1347.930472,67.77527752
1390.71618,17.40962158,1632.039646,18.09611272,1432.293396,-25.60272894,1074.49119,-44.65721643,750.1321151,94.5408153,1378.665939,64.69546044
1424.714566,17.42159412,1678.370358,18.09874514,1469.814909,-24.05391244,1109.218553,-42.96267449,779.507195,95.1307031,1407.274712,59.52104157
1458.712951,17.41841391,1721.612355,18.10120208,1503.618862,-22.93696079,1143.210168,-42.96170811,815.4307116,98.14372127,1436.894907,55.73613048
1492.711337,17.40531895,1767.943066,18.1038345,1535.953105,-21.03797993,1177.201782,-42.9906995,852.1287305,99.12127685,1463.318288,50.48952368
1526.709722,17.39615248,1814.273778,18.10646693,1568.362858,-19.18529228,1213.145068,-43.23611921,878.8842618,96.86276748,1492.241841,47.41313339
1560.708107,17.39802319,1860.604489,18.10909936,1602.991476,-18.9165167,1243.045678,-42.16560464,891.0976664,89.17942395,1506.801663,42.38518627
1594.706493,17.40251289,1910.023914,18.11190728,1637.633648,-16.77900721,1280.378348,-41.77866627,931.7622203,82.85747083,1535.24479,40.87544451
1628.704878,17.40288703,1937.204598,18.29882713,1673.764594,-16.136231,1311.028907,-40.26443872,948.2339383,78.85990046,1550.172285,37.39877266
1662.703264,17.40288703,1987.85951,17.87798983,1707.355084,-15.50831474,1348.447414,-39.5027458,977.1200027,76.6402952,1584.454048,35.58393708
1696.701649,17.40176461,2015.812372,18.2006749,1737.548393,-14.47045532,1380.175632,-38.57831221,1013.091328,76.55184557,1621.309517,33.83306119
1730.700035,17.3877343,2049.016049,18.11980456,1772.570056,-13.13884873,1413.701013,-36.77242078,1047.064247,76.60257024,1651.241717,31.09132063
1764.69842,17.36117024,2093.802403,18.0561437,1805.640047,-11.39661899,1450.164745,-34.65219694,1079.402105,73.55685602,1684.019701,27.40230854
1798.696805,17.34639164,2133.955686,17.54533226,1844.309933,-9.751699784,1485.186408,-33.05667853,1105.058421,68.40729705,1716.485163,25.55451804
1829.604429,17.37224899,2167.931541,17.2493378,1875.08703,-8.913186313,1515.727358,-31.68,1133.981973,65.39158705,1751.230193,21.6610315
1860.512052,17.42309068,2186.878728,17.45372462,1910.228736,-7.080863843,1551.521558,-29.72333912,1148.541795,60.08749794,1785.678257,19.57898087
1886.783531,17.42449371,2197.274325,18.06202279,1942.322117,-5.974961178,1585.719182,-28.39102385,1178.05074,57.77624566,1821.82327,17.03171372
1900.691962,17.37682183,2200.132538,18.70447768,1980.446803,-3.176157469,1620.281285,-26.93812423,1202.369017,53.3246534,1850.253529,14.37314179
1908.418867,17.33395143,2200.363039,16.14223781,2002.614314,-1.600987214,1655.223714,-25.77207581,1233.321366,52.53424428,1887.636608,12.94962181
1914.600392,17.28353585,2200.363039,14.28848287,,,1687.075996,-24.09256762,1269.43244,53.26332551,1921.609527,11.06961005
1920.781917,17.22077359,2200.363039,12.30231686,,,1722.043446,-23.14083635,1303.405359,49.99674795,1955.067704,9.397176442
1922.768835,17.08892874,2200.363039,10.31615086,,,1753.771663,-21.31274464,1333.314531,45.31171563,1989.040622,8.204269221
1926.963441,17.15595355,2200.363039,8.329984847,,,1788.085168,-20.85715306,1362.497647,42.95717231,2023.013541,7.724427521
1939.326491,17.0036779,2200.363039,6.343818839,,,1824.994124,-19.43079337,1399.797419,38.88788961,2056.986459,7.134444734
1939.635567,17.06211882,,,,,1855.930443,-18.31908488,1430.767036,32.89315193,2090.959378,6.360002357
1942.417253,16.95326231,,,,,1891.025681,-16.59539509,1464.00461,29.35141292,2127.814847,3.904187865
1948.598778,16.89461561,,,,,1924.304185,-15.53439955,1500.702629,27.3907406,2148.717949,1.178704108
1951.68954,16.84111335,,,,,1959.00891,-14.0688924,1529.999848,25.44917175,2184.615385,0.5879862325
1964.82528,16.77114886,,,,,1995.139856,-13.31154819,1559.060149,23.79518454,,
1973.324876,16.68369325,,,,,2028.628098,-12.46977301,1589.429879,21.17678452,,
1976.106562,16.72176217,,,,,2063.3872,-10.15200577,1627.251101,19.37150385,,
1991.354323,16.81436222,,,,,2092.571919,-8.7762249,1656.929607,17.52582087,,
1994.960212,16.90078894,,,,,2127.730922,-6.432271307,1682.598035,13.27382407,,
1998.050975,16.97281121,,,,,2163.867462,-3.906354131,1714.511988,12.09505273,,
1999.596356,17.01602457,,,,,2194.182914,-1.763498438,1746.191148,9.517704904,,
2000.037893,17.07805191,,,,,2195.323817,-80.52806,1774.565127,5.554869269,,
2002.687118,17.17241578,,,,,2196.80306,-3.545571351,1804.175001,5.474188966,,
2002.687118,17.12714464,,,,,2198.127408,-86.79763104,1840.79516,5.951326003,,
2004.747626,17.23140545,,,,,2201.718029,-6.020883534,1874.768078,4.076737591,,
2005.77788,17.29588252,,,,,2204.675577,-30.5383192,1908.912577,3.430594592,,
2007.323261,17.35761589,,,,,2204.675577,-34.76609167,,,,
2008.868643,17.41934927,,,,,2204.675577,-38.99409192,,,,
2036.685503,17.0818735,,,,,2204.675577,-43.19612418,,,,
,,,,,,2204.675577,-47.46155784,,,,
,,,,,,2204.675577,-51.67535921,,,,
,,,,,,2204.675577,-55.87055779,,,,
,,,,,,2204.675577,-60.09992478,,,,
,,,,,,2204.675577,-64.32792503,,,,
,,,,,,2204.675577,-68.52995729,,,,
,,,,,,2204.675577,-72.79539095,,,,
,,,,,,2206.871207,-24.57893119,,,,
,,,,,,2208.383753,-10.17781348,,,,
,,,,,,2208.795772,-76.81784917,,,,
,,,,,,2209.310797,-14.62828811,,,,
,,,,,,2210.469602,-18.64953146,,,,
