t,h,lon,lat,v,gam,azm,alpha,beta,q
110.5249414,214112.474,7.641247613,0.06339844952,25322.86814,-0.7638555651,88.64294219,17.48820237,-72.41573482,131.655548
119.1370461,211305.0199,8.232120967,0.07861371862,25267.27293,-0.7118239103,88.40228639,17.47325446,-72.29438606,138.7483404
127.1628994,208883.072,8.781542714,0.09511315427,25209.25964,-0.657318211,88.15344539,17.45239171,-72.08835696,145.0127138
132.4542446,207399.23,9.143044847,0.1073218286,25167.66373,-0.617968677,87.97618421,17.45632108,-71.93782798,148.838479
133.7857424,207040.9077,9.233914775,0.1105695768,25156.77094,-0.6076439884,87.92989785,17.45685349,-71.92153341,149.7626784
133.7857424,207040.9077,9.233914775,0.1105695768,25156.77094,-0.6076439884,87.92989785,17.45685349,-71.92153341,149.7626784
137.0813898,206180.9482,9.458654751,0.1189222034,25129.10351,-0.5814917711,87.81251135,17.44467364,-71.9050663,152.0083895
143.971377,204511.2815,9.927653014,0.1378814099,25068.17206,-0.5243288546,87.55478315,17.41175824,-71.85023883,156.3486891
152.5834817,202680.506,10.51213349,0.1645822943,24986.20056,-0.4480689355,87.20952258,17.42792244,-71.70749678,160.8119106
160.609335,201245.7446,11.05492996,0.1926543262,24904.28911,-0.3724343205,86.86586619,17.43957861,-71.55858749,164.0398453
165.9006802,200449.1959,11.41171611,0.2129245546,24847.8279,-0.3208578252,86.6295759,17.42647686,-71.4770227,165.6846227
167.232178,200267.7463,11.50135718,0.2182511027,24833.35697,-0.3077369067,86.56907583,17.42544295,-71.45674463,166.0229887
167.232178,200267.7463,11.50135718,0.2182511027,24833.35697,-0.3077369067,86.56907583,17.42544295,-71.45674463,166.0229887
170.5278254,199851.7831,11.7229844,0.2318312796,24797.12207,-0.2750696345,86.41768762,17.41292953,-71.40986035,166.7646127
177.4178126,199134.7523,12.18516218,0.2620655268,24719.87218,-0.2065524461,86.09526661,17.37895492,-71.33015745,167.7734026
186.0299173,198527.1277,12.76057316,0.3034120384,24620.91528,-0.1212300783,85.68295073,17.40276449,-71.21161043,167.7848462
194.0557706,198245.0789,13.2944492,0.3455385305,24527.09129,-0.04290017745,85.29277621,17.41114323,-71.04172473,166.7927255
199.3471158,198205.028,13.64515217,0.3752088951,24465.14175,0.007212536037,85.03551368,17.38792811,-70.92631329,165.7039141
200.6786136,198212.624,13.7332416,0.3829103874,24449.59001,0.01954450507,84.97099918,17.38512569,-70.90454282,165.3618147
200.6786136,198212.624,13.7332416,0.3829103874,24449.59001,0.01954450507,84.97099918,17.38512569,-70.90454282,165.3618147
203.974261,198261.2421,13.95099712,0.402377245,24411.19885,0.04952164833,84.81178948,17.38075797,-70.85462315,164.4095158
210.8642482,198494.9639,14.40496402,0.4449155787,24331.64111,0.1093269751,84.48220536,17.37373546,-70.74258778,161.9911114
219.4763529,199021.2149,14.96997509,0.5015104116,24234.15062,0.1778473001,84.07905286,17.37691587,-70.5822563,158.2394271
227.5022062,199721.963,15.494135,0.5575592247,24146.02014,0.2345763971,83.71545861,17.36601929,-70.39676488,154.2196769
232.7935514,200282.0516,15.838473,0.5961867428,24089.71737,0.267782277,83.48369813,17.35872008,-70.27460408,151.3449986
234.1250492,200434.1091,15.9249696,0.6061099697,24075.78779,0.2755898324,83.42642387,17.36127118,-70.24929449,150.5884742
234.1250492,200434.1091,15.9249696,0.6061099697,24075.78779,0.2755898324,83.42642387,17.36127118,-70.24929449,150.5884742
